iter	Passed	Remaining
346	5548	10442
347	5561	10420
348	5565	10381
349	5568	10340
350	5572	10304
351	5577	10267
352	5587	10241
353	5606	10230
354	5618	10208
355	5635	10195
356	5642	10162
357	5651	10135
358	5673	10131
359	5686	10109
360	5711	10110
361	5736	10110
362	5754	10098
363	5761	10066
364	5769	10036
365	5778	10009
366	5793	9992
367	5804	9968
368	5810	9936
369	5827	9921
370	5832	9887
371	5835	9851
372	5841	9819
373	5856	9802
374	5859	9765
375	5871	9743
376	5876	9711
377	5883	9680
378	5886	9645
379	5891	9613
380	5908	9599
381	5920	9578
382	5928	9550
383	5931	9515
384	5950	9505
385	5956	9474
386	5961	9442
387	5969	9415
388	5990	9409
389	5998	9381
390	6002	9349
391	6012	9325
392	6023	9304
393	6032	9278
394	6039	9250
395	6047	9224
396	6059	9203
397	6067	9176
398	6082	9161
399	6091	9137
400	6101	9113
401	6115	9097
402	6129	9079
403	6138	9055
404	6142	9023
405	6145	8991
406	6149	8959
407	6152	8927
408	6156	8895
409	6159	8864
410	6163	8832
411	6167	8801
412	6170	8770
413	6173	8738
414	6177	8708
415	6181	8677
416	6184	8646
417	6189	8618
418	6193	8587
419	6197	8558
420	6200	8527
421	6204	8497
422	6207	8467
423	6210	8436
424	6213	8406
425	6216	8376
426	6220	8346
427	6223	8317
428	6227	8288
429	6230	8259
430	6234	8230
431	6237	8201
432	6241	8172
433	6245	8144
434	6248	8115
435	6251	8087
436	6255	8058
437	6258	8030
438	6261	8002
439	6265	7974
440	6269	7947
441	6272	7919
442	6274	7889
443	6278	7862
444	6281	7834
445	6285	7807
446	6288	7779
447	6292	7752
448	6295	7725
449	6299	7699
450	6302	7672
451	6306	7646
452	6309	7618
453	6315	7595
454	6327	7579
455	6331	7553
456	6337	7529
457	6345	7508
458	6360	7497
459	6364	7471
460	6381	7461
461	6385	7436
462	6389	7410
463	6393	7385
464	6398	7362
465	6404	7338
466	6410	7316
467	6415	7293
468	6420	7269
469	6424	7244
470	6428	7220
471	6432	7196
472	6436	7171
473	6444	7151
474	6464	7144
475	6470	7123
476	6477	7102
477	6482	7078
478	6485	7054
479	6490	7031
480	6496	7009
481	6499	6985
482	6514	6973
483	6538	6970
484	6542	6947
485	6547	6924
486	6552	6901
487	6556	6878
488	6559	6854
489	6563	6831
490	6566	6807
491	6570	6784
492	6574	6761
493	6581	6741
494	6593	6726
495	6596	6702
496	6599	6678
497	6602	6655
498	6605	6631
499	6608	6608
500	6611	6585
501	6621	6568
502	6625	6546
503	6629	6524
504	6633	6502
505	6636	6479
506	6641	6458
507	6644	6435
508	6648	6413
509	6652	6391
510	6655	6369
511	6659	6347
512	6663	6325
513	6666	6303
514	6670	6281
515	6673	6259
516	6676	6237
517	6679	6215
518	6682	6193
519	6686	6172
520	6690	6150
521	6693	6129
522	6696	6107
523	6699	6085
524	6702	6064
525	6706	6043
526	6709	6022
527	6712	6000
528	6716	5979
529	6719	5958
530	6722	5937
531	6726	5916
532	6728	5895
533	6732	5874
534	6735	5854
535	6738	5833
536	6740	5812
537	6743	5791
538	6746	5770
539	6750	5750
540	6753	5729
541	6756	5709
542	6759	5689
543	6762	5668
544	6765	5648
545	6768	5628
546	6771	5608
547	6774	5587
548	6777	5567
549	6780	5548
550	6783	5528
551	6786	5508
552	6789	5488
553	6793	5468
554	6796	5449
555	6799	5429
556	6802	5410
557	6806	5391
558	6808	5371
559	6813	5353
560	6816	5333
561	6819	5314
562	6822	5295
563	6826	5276
564	6829	5257
565	6832	5238
566	6835	5219
567	6838	5201
568	6841	5182
569	6844	5163
570	6847	5144
571	6850	5126
572	6853	5107
573	6856	5088
574	6859	5070
575	6862	5051
576	6865	5033
577	6868	5014
578	6871	4996
579	6874	4978
580	6877	4959
581	6880	4941
582	6883	4923
583	6885	4904
584	6888	4886
585	6891	4868
586	6894	4850
587	6897	4832
588	6900	4814
589	6902	4796
590	6905	4779
591	6909	4761
592	6912	4744
593	6915	4726
594	6918	4709
595	6921	4691
596	6924	4674
597	6927	4656
598	6930	4639
599	6932	4621
600	6935	4604
601	6938	4587
602	6941	4570
603	6944	4553
604	6947	4536
605	6950	4519
606	6954	4502
607	6957	4485
608	6961	4469
609	6964	4452
610	6967	4435
611	6970	4419
612	6973	4402
613	6976	4386
614	6980	4369
615	6982	4353
616	6986	4336
617	6989	4320
618	6992	4303
619	6995	4287
620	6997	4270
621	7000	4254
622	7003	4238
623	7006	4221
624	7009	4205
625	7012	4189
626	7015	4173
627	7017	4157
628	7020	4140
629	7023	4124
630	7025	4108
631	7028	4092
632	7031	4076
633	7034	4060
634	7037	4044
635	7039	4029
636	7042	4013
637	7045	3997
638	7048	3981
639	7050	3966
640	7053	3950
641	7056	3934
642	7059	3919
643	7062	3904
644	7065	3888
645	7068	3873
646	7070	3857
647	7073	3842
648	7076	3827
649	7079	3812
650	7082	3797
651	7085	3781
652	7088	3766
653	7091	3751
654	7094	3736
655	7097	3721
656	7099	3706
657	7102	3691
658	7105	3676
659	7108	3661
660	7111	3647
661	7113	3632
662	7116	3617
663	7119	3602
664	7122	3588
665	7125	3573
666	7128	3558
667	7131	3544
668	7134	3529
669	7137	3515
670	7140	3500
671	7143	3486
672	7146	3472
673	7149	3457
674	7152	3443
675	7156	3429
676	7159	3415
677	7162	3401
678	7165	3387
679	7168	3373
680	7171	3359
681	7174	3345
682	7177	3331
683	7180	3317
684	7183	3303
685	7186	3289
686	7188	3275
687	7191	3261
688	7194	3247
689	7197	3233
690	7200	3219
691	7202	3205
692	7205	3192
693	7208	3178
694	7211	3164
695	7214	3151
696	7217	3137
697	7219	3123
698	7222	3110
699	7225	3096
700	7228	3083
701	7231	3069
702	7235	3056
703	7237	3043
704	7240	3029
705	7243	3016
706	7245	3002
707	7248	2989
708	7251	2976
709	7254	2962
710	7257	2949
711	7259	2936
712	7262	2923
713	7265	2910
714	7268	2897
715	7270	2883
716	7273	2870
717	7276	2857
718	7279	2844
719	7281	2831
720	7283	2818
721	7286	2805
722	7289	2792
723	7291	2779
724	7294	2766
725	7297	2754
726	7299	2741
727	7302	2728
728	7304	2715
729	7307	2702
730	7310	2690
731	7312	2677
732	7315	2664
733	7318	2652
734	7322	2639
735	7325	2627
736	7327	2614
737	7330	2602
738	7333	2589
739	7336	2577
740	7338	2565
741	7341	2552
742	7343	2540
743	7346	2527
744	7348	2515
745	7351	2503
746	7354	2490
747	7357	2478
748	7360	2466
749	7363	2454
750	7366	2442
751	7368	2430
752	7371	2417
753	7374	2405
754	7376	2393
755	7379	2381
756	7381	2369
757	7384	2357
758	7387	2345
759	7390	2333
760	7393	2321
761	7395	2309
762	7398	2298
763	7400	2286
764	7403	2274
765	7406	2262
766	7408	2250
767	7411	2238
768	7414	2227
769	7416	2215
770	7419	2203
771	7421	2191
772	7424	2180
773	7426	2168
774	7428	2156
775	7430	2145
776	7433	2133
777	7436	2121
778	7438	2110
779	7440	2098
780	7443	2087
781	7445	2075
782	7447	2063
783	7449	2052
784	7451	2040
785	7453	2029
786	7455	2017
787	7457	2006
788	7459	1994
789	7462	1983
790	7464	1972
791	7466	1960
792	7468	1949
793	7470	1938
794	7472	1926
795	7474	1915
796	7477	1904
797	7479	1893
798	7481	1882
799	7484	1871
800	7486	1859
801	7488	1848
802	7490	1837
803	7492	1826
804	7494	1815
805	7497	1804
806	7499	1793
807	7502	1782
808	7504	1771
809	7506	1760
810	7509	1749
811	7511	1739
812	7513	1728
813	7515	1717
814	7518	1706
815	7520	1695
816	7522	1684
817	7524	1674
818	7526	1663
819	7529	1652
820	7531	1642
821	7533	1631
822	7536	1620
823	7538	1610
824	7540	1599
825	7542	1588
826	7545	1578
827	7547	1567
828	7550	1557
829	7552	1546
830	7554	1536
831	7556	1525
832	7558	1515
833	7560	1504
834	7562	1494
835	7564	1484
836	7566	1473
837	7568	1463
838	7570	1452
839	7572	1442
840	7575	1432
841	7577	1421
842	7579	1411
843	7581	1401
844	7583	1391
845	7585	1380
846	7587	1370
847	7589	1360
848	7591	1350
849	7594	1340
850	7596	1330
851	7598	1319
852	7600	1309
853	7603	1299
854	7605	1289
855	7607	1279
856	7609	1269
857	7612	1259
858	7614	1249
859	7617	1239
860	7619	1230
861	7621	1220
862	7624	1210
863	7626	1200
864	7629	1190
865	7631	1180
866	7634	1171
867	7636	1161
868	7638	1151
869	7641	1141
870	7643	1132
871	7645	1122
872	7647	1112
873	7649	1102
874	7652	1093
875	7654	1083
876	7656	1073
877	7658	1064
878	7660	1054
879	7662	1044
880	7664	1035
881	7667	1025
882	7669	1016
883	7671	1006
884	7673	997
885	7675	987
886	7677	978
887	7679	968
888	7681	959
889	7683	949
890	7685	940
891	7688	930
892	7690	921
893	7692	912
894	7694	902
895	7696	893
896	7698	883
897	7700	874
898	7702	865
899	7704	856
900	7706	846
901	7709	837
902	7710	828
903	7713	819
904	7715	809
905	7717	800
906	7719	791
907	7721	782
908	7723	773
909	7725	764
910	7728	754
911	7730	745
912	7733	736
913	7735	727
914	7737	718
915	7739	709
916	7742	700
917	7744	691
918	7746	682
919	7748	673
920	7750	664
921	7752	655
922	7755	646
923	7757	638
924	7760	629
925	7762	620
926	7765	611
927	7767	602
928	7769	593
929	7772	584
930	7774	576
931	7777	567
932	7779	558
933	7782	549
934	7784	541
935	7786	532
936	7789	523
937	7791	515
938	7793	506
939	7795	497
940	7798	488
941	7800	480
942	7802	471
943	7804	462
944	7806	454
945	7808	445
946	7810	437
947	7812	428
948	7815	419
949	7817	411
950	7819	402
951	7822	394
952	7824	385
953	7826	377
954	7828	368
955	7830	360
956	7832	351
957	7835	343
958	7837	335
959	7839	326
960	7842	318
961	7844	309
962	7846	301
963	7848	293
964	7850	284
965	7853	276
966	7855	268
967	7858	259
968	7860	251
969	7862	243
970	7864	234
971	7866	226
972	7868	218
973	7870	210
974	7872	201
975	7875	193
976	7877	185
977	7879	177
978	7881	169
979	7883	160
980	7885	152
981	7887	144
982	7889	136
983	7890	128
984	7893	120
985	7895	112
986	7897	104
987	7899	95
988	7901	87
989	7903	79
990	7906	71
991	7908	63
992	7911	55
993	7913	47
994	7915	39
995	7917	31
996	7919	23
997	7921	15
998	7924	7
999	7926	0
